flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
026,Start,47.1575961,11.312649,1.2112640142440796,26.896,1.0
026,Waypoint,47.1575973,11.3126522,29.80735206604004,40.016,0.9899999499320984
026,Waypoint,47.1568876,11.3150893,31.430465698242188,59.016,0.9699999690055847
026,Waypoint,47.1563851,11.3303672,31.358675003051758,157.016,0.85999995470047
026,Waypoint,47.1569277,11.3297316,31.48380470275879,167.316,0.8499999642372131
026,Waypoint,47.1480782,11.3204168,31.081968307495117,272.62,0.7299999594688416
026,Waypoint,47.1502483,11.3192156,31.09284019470215,298.416,0.699999988079071
026,Waypoint,47.1452692,11.3076735,31.154964447021484,389.116,0.5999999642372131
026,Waypoint,47.1481128,11.3099179,31.29025650024414,423.716,0.5600000023841858
026,Waypoint,47.15388,11.3037146,31.493783950805664,492.516,0.4899999797344208
026,Waypoint,47.1547661,11.3032786,31.579721450805664,502.216,0.4699999988079071
026,Waypoint,47.1575926,11.3126335,31.843585968017578,569.616,0.3999999761581421
026,Landing,47.157633,11.3127674,1.4102803468704224,597.4,0.3700000047683716

