flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
009,Start,47.1575966,11.3126488,1.0897610187530518,36.4,1.0
009,Waypoint,47.1575972,11.3126497,29.36307144165039,49.564,0.9899999499320984
009,Waypoint,47.1547867,11.3032979,31.315906524658203,117.264,0.9099999666213989
009,Waypoint,47.1539045,11.3036889,31.28989028930664,129.064,0.8999999761581421
009,Waypoint,47.1481364,11.3099173,31.3381290435791,197.164,0.8199999928474426
009,Waypoint,47.1452769,11.3076739,31.579341888427734,230.264,0.7899999618530273
009,Waypoint,47.1480619,11.3203902,31.134849548339844,318.964,0.6899999976158142
009,Waypoint,47.1502486,11.3192216,31.44403839111328,343.364,0.6599999666213989
009,Waypoint,47.1569229,11.3296928,31.41749382019043,436.064,0.5600000023841858
009,Waypoint,47.1563958,11.3303834,31.3170166015625,445.764,0.550000011920929
009,Waypoint,47.1568806,11.3151238,31.623851776123047,546.364,0.4399999976158142
009,Waypoint,47.1575932,11.3126639,31.745426177978516,564.464,0.41999998688697815
009,Landing,47.1576374,11.3125272,1.772563099861145,591.116,0.38999998569488525

