flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
028,Start,47.1575964,11.3126489,1.1507737636566162,32.756,1.0
028,Waypoint,47.1575972,11.3126498,29.76506996154785,45.928,0.9899999499320984
028,Waypoint,47.1568879,11.3150855,31.341398239135742,65.124,0.9699999690055847
028,Waypoint,47.1563851,11.3303716,31.354629516601562,163.224,0.85999995470047
028,Waypoint,47.1569269,11.329729,31.4172420501709,173.424,0.8499999642372131
028,Waypoint,47.148075,11.3204145,30.98565101623535,278.724,0.7299999594688416
028,Waypoint,47.1502523,11.319215,31.12749671936035,304.524,0.699999988079071
028,Waypoint,47.1481297,11.3099425,31.158145904541016,370.024,0.6299999952316284
028,Waypoint,47.1452759,11.3076702,31.06505012512207,402.324,0.5899999737739563
028,Waypoint,47.1547643,11.30328,31.57708168029785,499.224,0.47999998927116394
028,Waypoint,47.1539053,11.3036918,31.493764877319336,512.024,0.4699999988079071
028,Waypoint,47.1575879,11.3126297,31.795745849609375,581.124,0.38999998569488525
028,Landing,47.1576506,11.3127698,1.481417179107666,608.864,0.35999998450279236

