flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
046,Start,47.1575966,11.3126489,1.0594547986984253,34.184,1.0
046,Waypoint,47.1575972,11.3126503,29.507707595825195,47.312,0.9899999499320984
046,Waypoint,47.1568853,11.3150915,31.38078498840332,66.612,0.9699999690055847
046,Waypoint,47.1538992,11.3037197,31.333267211914062,148.312,0.8799999952316284
046,Waypoint,47.1547666,11.3032747,31.52467155456543,159.812,0.85999995470047
046,Waypoint,47.1481405,11.309917,31.517377853393555,238.612,0.7799999713897705
046,Waypoint,47.1452726,11.30767,31.06369400024414,271.712,0.7400000095367432
046,Waypoint,47.1480601,11.3203805,31.21637725830078,360.312,0.6399999856948853
046,Waypoint,47.1502567,11.3192168,31.340824127197266,385.012,0.6100000143051147
046,Waypoint,47.1563739,11.3303685,31.47043228149414,477.712,0.5099999904632568
046,Waypoint,47.156932,11.32973,31.45720672607422,487.212,0.5
046,Waypoint,47.1575967,11.3126669,31.734155654907227,598.112,0.3799999952316284
046,Landing,47.1576051,11.3124894,2.052544593811035,624.18,0.3499999940395355

