flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
016,Start,47.1575966,11.3126489,1.125089406967163,34.788,1.0
016,Waypoint,47.1575972,11.3126504,29.50274085998535,47.912,0.9899999499320984
016,Waypoint,47.1568866,11.3150885,31.347633361816406,67.212,0.9699999690055847
016,Waypoint,47.1563856,11.3303655,31.388687133789062,165.312,0.85999995470047
016,Waypoint,47.1569276,11.3297274,31.408422470092773,175.612,0.8499999642372131
016,Waypoint,47.1480732,11.320412,30.897903442382812,280.912,0.7299999594688416
016,Waypoint,47.1502547,11.3192137,31.118608474731445,306.712,0.699999988079071
016,Waypoint,47.1481308,11.3099457,31.189228057861328,372.112,0.6299999952316284
016,Waypoint,47.1452728,11.3076683,31.016199111938477,404.412,0.5899999737739563
016,Waypoint,47.1538783,11.3037057,31.50788116455078,492.612,0.4899999797344208
016,Waypoint,47.154767,11.3032802,31.555253982543945,502.012,0.47999998927116394
016,Waypoint,47.1575911,11.3126296,31.814958572387695,569.412,0.4099999964237213
016,Landing,47.1576352,11.3127766,1.4478293657302856,597.06,0.3799999952316284

