flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
025,Start,51.5005899,7.4652294,126.54950714111328,38.092,1.0
025,Waypoint,51.5005893,7.4652329,155.13311767578125,50.676,0.9899999499320984
025,Waypoint,51.4955318,7.4787083,157.05126953125,143.776,0.8799999952316284
025,Waypoint,51.491431,7.4804499,156.96141052246094,184.976,0.8399999737739563
025,Waypoint,51.4925756,7.4518233,156.8069305419922,354.476,0.6499999761581421
025,Waypoint,51.4975875,7.4485688,156.79458618164062,406.876,0.5899999737739563
025,Waypoint,51.4982502,7.4596921,157.11944580078125,474.676,0.5199999809265137
025,Waypoint,51.5074843,7.463709,157.49073791503906,566.176,0.41999998688697815
025,Waypoint,51.5110717,7.4662774,157.42672729492188,603.676,0.3700000047683716
025,Waypoint,51.5101375,7.4666897,157.2854461669922,617.176,0.35999998450279236
025,Waypoint,51.5070671,7.4636245,157.12757873535156,652.976,0.3199999928474426
025,Waypoint,51.5006009,7.4652284,157.03627014160156,715.676,0.25
025,Landing,51.5004998,7.4652582,127.61093139648438,741.944,0.2199999988079071

