flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
016,Start,51.5005901,7.4652296,126.73030853271484,34.02,1.0
016,Waypoint,51.5005898,7.4652321,155.26950073242188,47.352,0.9899999499320984
016,Waypoint,51.4982572,7.4597272,156.95460510253906,88.952,0.9399999976158142
016,Waypoint,51.4976042,7.4485864,156.9423370361328,155.752,0.8700000047683716
016,Waypoint,51.49259,7.4517891,157.171875,209.752,0.8100000023841858
016,Waypoint,51.4914168,7.4804299,156.92567443847656,376.952,0.6200000047683716
016,Waypoint,51.4955166,7.4787292,156.828125,420.052,0.5699999928474426
016,Waypoint,51.5070482,7.4636239,157.35675048828125,560.252,0.41999998688697815
016,Waypoint,51.5074866,7.4637028,157.44345092773438,565.852,0.4099999964237213
016,Waypoint,51.5101095,7.4666769,157.39476013183594,597.052,0.3799999952316284
016,Waypoint,51.5110732,7.4662991,157.32168579101562,607.952,0.35999998450279236
016,Waypoint,51.5006018,7.4652319,157.02670288085938,710.252,0.25
016,Landing,51.5004974,7.4652266,127.7117919921875,736.42,0.2199999988079071

