flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
036,Start,51.5005901,7.4652297,126.60487365722656,35.88,1.0
036,Waypoint,51.5005902,7.4652322,155.29893493652344,51.112,0.9799999594688416
036,Waypoint,51.49826,7.4597338,156.95877075195312,92.512,0.9399999976158142
036,Waypoint,51.4976036,7.4485777,156.83676147460938,159.112,0.85999995470047
036,Waypoint,51.4925913,7.4517873,157.19212341308594,212.812,0.7999999523162842
036,Waypoint,51.4914162,7.4804288,156.9503173828125,380.012,0.6200000047683716
036,Waypoint,51.4955117,7.4787304,156.89834594726562,423.112,0.5699999928474426
036,Waypoint,51.5070457,7.4636268,157.4707794189453,563.312,0.41999998688697815
036,Waypoint,51.5110743,7.4662801,157.399169921875,605.912,0.3700000047683716
036,Waypoint,51.5101393,7.4666875,157.1996307373047,619.312,0.3499999940395355
036,Waypoint,51.5075086,7.4637278,157.07330322265625,651.312,0.3199999928474426
036,Waypoint,51.5006025,7.4652282,156.9796142578125,717.912,0.23999999463558197
036,Landing,51.5004985,7.4652558,127.58685302734375,744.552,0.2199999988079071

