flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
031,Start,51.5005902,7.4652298,126.71916961669922,34.536,1.0
031,Waypoint,51.5005895,7.4652317,155.23773193359375,47.912,0.9899999499320984
031,Waypoint,51.4955331,7.4787054,157.05050659179688,141.012,0.8799999952316284
031,Waypoint,51.4914269,7.4804508,156.9251708984375,182.212,0.8399999737739563
031,Waypoint,51.4925756,7.4518207,156.8284912109375,351.912,0.6499999761581421
031,Waypoint,51.4975933,7.4485666,156.73507690429688,404.412,0.5899999737739563
031,Waypoint,51.4982499,7.4596935,157.12045288085938,472.112,0.5199999809265137
031,Waypoint,51.5074862,7.4637107,157.45509338378906,563.612,0.4099999964237213
031,Waypoint,51.5101083,7.4666752,157.37396240234375,594.612,0.3799999952316284
031,Waypoint,51.5110757,7.4662976,157.40199279785156,605.612,0.3700000047683716
031,Waypoint,51.5070657,7.4636202,157.068359375,650.412,0.3199999928474426
031,Waypoint,51.5006006,7.4652284,157.0218505859375,712.812,0.25
031,Landing,51.5005063,7.4652562,127.68244934082031,739.02,0.2199999988079071

