flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
034,Start,51.50059,7.4652296,126.69287109375,35.944,1.0
034,Waypoint,51.5005894,7.465232,155.1114959716797,49.068,0.9899999499320984
034,Waypoint,51.498259,7.4597322,156.9722137451172,90.668,0.9399999976158142
034,Waypoint,51.4976039,7.4485833,156.87879943847656,157.468,0.8700000047683716
034,Waypoint,51.4925864,7.4517913,157.15684509277344,211.368,0.8100000023841858
034,Waypoint,51.4914163,7.4804315,156.93618774414062,378.568,0.6200000047683716
034,Waypoint,51.4955093,7.4787321,156.88409423828125,421.568,0.5699999928474426
034,Waypoint,51.5070464,7.4636261,157.37567138671875,561.672,0.41999998688697815
034,Waypoint,51.5101127,7.4666808,157.36376953125,597.568,0.3799999952316284
034,Waypoint,51.5110733,7.4662985,157.3927001953125,608.368,0.3700000047683716
034,Waypoint,51.5075123,7.4637258,157.1063690185547,649.168,0.3199999928474426
034,Waypoint,51.5006011,7.4652287,156.98822021484375,715.468,0.25
034,Landing,51.5004998,7.4652552,127.65174865722656,742.152,0.2199999988079071

