flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
022,Start,51.5005901,7.4652296,126.58169555664062,34.388,1.0
022,Waypoint,51.5005897,7.4652327,155.25765991210938,50.684,0.9899999499320984
022,Waypoint,51.5074796,7.463717,157.0616455078125,117.884,0.9099999666213989
022,Waypoint,51.5110733,7.4662773,157.02635192871094,155.684,0.8700000047683716
022,Waypoint,51.5101374,7.4666916,157.11050415039062,168.684,0.8499999642372131
022,Waypoint,51.5070685,7.4636281,157.08444213867188,204.484,0.8100000023841858
022,Waypoint,51.4982643,7.4597177,156.5244140625,290.884,0.7199999690055847
022,Waypoint,51.4976039,7.4485809,156.7936553955078,358.384,0.6399999856948853
022,Waypoint,51.4925912,7.4517872,156.80479431152344,412.084,0.5799999833106995
022,Waypoint,51.4914164,7.4804289,157.4813995361328,579.284,0.3999999761581421
022,Waypoint,51.4955149,7.4787288,157.48187255859375,622.584,0.3499999940395355
022,Waypoint,51.5005847,7.4652463,157.0460662841797,716.484,0.25
022,Landing,51.5006445,7.4650907,128.26864624023438,741.612,0.2199999988079071

