flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
048,Start,51.5005901,7.4652291,126.56539154052734,33.404,1.0
048,Waypoint,51.5005901,7.4652335,154.9774169921875,46.084,0.9899999499320984
048,Waypoint,51.5074819,7.4637163,157.01034545898438,113.284,0.9099999666213989
048,Waypoint,51.5070688,7.4636182,157.0453338623047,121.184,0.8999999761581421
048,Waypoint,51.5110743,7.4662797,157.06861877441406,165.184,0.85999995470047
048,Waypoint,51.5101389,7.4666901,157.0437469482422,178.184,0.8399999737739563
048,Waypoint,51.498265,7.4597205,156.57550048828125,298.084,0.7099999785423279
048,Waypoint,51.4976037,7.4485793,156.78306579589844,365.584,0.6299999952316284
048,Waypoint,51.4925876,7.4517881,156.82069396972656,419.384,0.5699999928474426
048,Waypoint,51.4914162,7.4804355,157.3981475830078,586.684,0.38999998569488525
048,Waypoint,51.4955128,7.4787286,157.31007385253906,629.584,0.3400000035762787
048,Waypoint,51.5005824,7.4652514,157.0898895263672,723.384,0.23999999463558197
048,Landing,51.5006428,7.4650926,128.1197052001953,748.528,0.20999999344348907

