flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
008,Start,51.50059,7.4652297,126.73136138916016,35.232,1.0
008,Waypoint,51.5005898,7.4652321,155.4061279296875,48.496,0.9899999499320984
008,Waypoint,51.4982573,7.4597273,156.94644165039062,90.096,0.9399999976158142
008,Waypoint,51.4976039,7.448576,156.81405639648438,157.096,0.8700000047683716
008,Waypoint,51.4925902,7.4517889,157.17861938476562,210.896,0.8100000023841858
008,Waypoint,51.4914165,7.4804324,156.92349243164062,378.096,0.6200000047683716
008,Waypoint,51.4955097,7.4787325,156.86363220214844,421.096,0.5699999928474426
008,Waypoint,51.5110749,7.4662948,157.33982849121094,584.096,0.38999998569488525
008,Waypoint,51.5101352,7.4666829,157.28541564941406,597.696,0.3799999952316284
008,Waypoint,51.5070694,7.4636282,157.135498046875,633.596,0.3400000035762787
008,Waypoint,51.5074823,7.4637123,157.05123901367188,641.796,0.32999998331069946
008,Waypoint,51.5006053,7.4652277,157.0330047607422,710.096,0.25
008,Landing,51.5004996,7.465253,127.56951141357422,736.356,0.2199999988079071

